,한글 이름,영문 이름,가격,종류,나라,도시,아로마,음식매칭,전문가 평점,소비자 평점,알코올,당도,산도,바디,타닌,메이커스 노트,테이스팅 노트
171,"카르페 디엠, 페테아스카 네그라","Carpe diem, Feteasca Neagra",62000.0,,몰도바,,체리,"치즈, 스테이크, 삼겹살",-,4,,1,3,3,3,"몰도바 대표 로컬 레드 품종 중 가장 고급으로 손 꼽히는 페테아스카 네그라 100%로 만든 와인이다. 스파이시하고 프룬, 블랙 베리, 체리의 검붉은 풍미가 힘있게 느껴지고 질감은 매우 소프트하며 스파이시한 테이스트가 입에서도 전달된다. 미디움 플러스의 잘 짜여진 골격에 풍부한 과일 풍미와 맛있는 산도가 더해져 와인을 지루하지 않게 하고 균형감이 뛰어나다.

카르페 디엠은 모든 레인지의 라벨에 각 와인의 개성과 스토리가 담긴 스틸 컷으로 라벨을 장식한다. 물론 카르페 디엠이라는 이름에 맞게 각 스토리 컨셉에 맞는 가장 흥분되고 즐거운 순간의 표정이 담기게 된다. 의미를 담은 특별한 날을 위한 와인으로 추천할 만 하다.",
172,"휴 해밀턴, 에이전트 프로바케터","Hugh Hamilton, Agent Provocateur",90000.0,,호주,맥라렌 베일,"사과, 자두, 체리, 딸기, 블루베리, 장미, 사향",,-,3.5,14~15 %,1,3,4,3,"장미, 라즈베리, 장미로 지속적으로 이어지는 윤기나고 질감이 느껴지며 풍미에서는 여러 층의 과일, 온화한 향신료, 체리파이, 신선한 딸기, 자두, 핑크레이디 사과, 블루베리, 사향 힌트가 전해지는 와인이다.",
173,"가이서픽, 캘리포니아 까베르네 소비뇽","Geyser Peak, California Cabernet Sauvignon",66000.0,,미국,캘리포니아,"배, 체리, 블루베리, 블랙체리, 바닐라, 민트","소고기, 안심, 버섯, 양고기",-,3.8,13~14 %,1,3,4,3,"서늘했던 2017년의 수확은 8월 초에 시작되어 천천히 이어졌다. 따뜻한 낮과 시원한 밤의 일교차가 낮은 당도와 밝고 생생한 산미와 풍부한 맛을 부여했다. 지속적이고 안정된 숙성기 동안 과실의 맛이 놀랍도록 성숙해 풍부하고 정재된 타닌이 구성되어 발효 중에 쉽게 추출되었다.

깊은 루비색의 캘리포니아 카베르네 소비뇽 2017 빈티지는 블랙 베리와 블루베리의 아로마에 달콤한 바닐라향 오크와 민트향이 코에 감돌며, 팔레트에서는 고혹적인 깊은 맛과 함께 우아하면서도 관능적인 타닌이 느껴진다. 촘촘하게 짜인 산도와 부드러운 타닌을 바탕으로 한 블루베리와 블랙체리의 풍미가 긴 피니시까지 오래도록 지속되는 와인이다.

2017 빈티지는 밤에 수확한 과실을 하루 두 번 펌프 오버하는 전통적인 발효와 100%젖산 발효를 거쳐 10개월간 25% 새로운 프렌치 오크배럴에서 숙성하였다.",
174,듀블 로제,Dubl Roe,100000.0,스파클링,이탈리아,깜빠니아,체리,"치즈, 피자, 채소",-,4,12~13 %,1,4,3,1,"풀 바디감과 둥근 느낌을 주는 Aglianico 품종이 화려한 거품옷을 입고 부드러운 스파클링 와인으로 재탄생했다. 연분홍 컬러를 띠며 라즈베리, 체리, 마라스카 체리의 과실 향이 느껴진다. 우아한 바디감, 지속적인 페를라쥐가 매력적인 와인이다.",
175,"부츠레그, 레드블렌드","Bootleg, Red Blend",117000.0,,미국,나파 카운티,"자두, 자두, 블루베리, 바닐라, 에스프레소, 오크",양갈비,-,4,,1,4,5,5,"화려한 보랏빛을 띤 와인으로 레드 베리, 약간의 스파이스 그리고 에스프레소 향을 지니고 있다. 입에서는 말린 자두, 블루베리, 약간의 바닐라와 피망, 블랙 티 그리고 시가 박스의 풍미를 느낄 수 있는 와인이다.

스테인레스 스틸 탱크에서 발효하였으며 19개월 동안 85%의 프렌치 오크 그리고 15%의 아메리칸 오크에서 숙성시켰다.",
176,"샤또 랑베르삭, 쾨르 드 비뉴","Chateau Lanbersac, Coeur de Vigne",83000.0,,프랑스,퓌스갱-생-떼밀리옹,"자두, 자두, 블루베리, 블랙베리, 허브",,-,4.2,,1,4,4,4,"이산화항 첨가물을 일체 사용하지 않은 와인으로 진한 보라빛을 띠고 있다. 구운 자두, 블루베리 콤포트, 차그릴 방식으로 요리된 블랙베리 파이의 향이 느껴진다. 미디엄 플러스의 바디감을 지닌 이 와인은 입안에서는 신선한 검은 과실류의 풍미가 폭발하는 듯한 생동감을 보여준다. 피니쉬에서는 허브의 캐릭터를 느낄 수 있다. 일절의 첨가물 없이 순수하게 떼루아와 포도의 캐릭터를 표현하고 있는 와인이다.

레이블에 적혀진 'Ab imo Pectore'는 라틴어로 '마음 깊숙한 곳으로부터'라는 뜻을 가지고 있다. 와인명과 마찬가지로 순수한 떼루아를 표현하고자하는 의미를 담고 있다.",
177,"스칼라 데이, 프리오르","Scala Dei, Prior",130000.0,,스페인,프리오랏,"배, 효모",,-,4,,1,3,4,4,"해발 500미터에서 800미터 고도에서 자라난 포도를 블렌딩해서 만들었다. 가르나차와 까리네나는 점토와 석회질 토양의 높은 고도에서 자라난 포도는 포도송이 전체로 콘크리트 배트에서 발효되었고, 나머지는 줄기를 제거한 후 스테인레스 스틸 통에서 토착효모를 사용하여 발효되었다.

풍부한 과일향, 잘 익은 포도를 사용하여 입안에서 부드럽고 풍부한 과일 맛이 인상적이다. 타닌은 섬세하며 완벽에 가까울 정도로 뛰어난 와인의 맛을 선보여주는 와인이다.",
178,"톨라이니, 키안티 클라시코","Tolaini, Chianti Classico",40000.0,,이탈리아,키안티,"체리, 감초, 오크",가금류,-,3.5,,1,3,4,4,"높은 고도의 일교차와 키안티 클라시코 남부의 일조량, 독특한 갈레스트로(Galestro) 토양이 빚어낸 우아한 타입의 와인이다.

블랙 체리의 진한 향과 담뱃잎, 감초, 각종 향신료의 향이 은은하게 어우러지며 잘 익은 과일의 꽉 찬 풍미가 섬세하게 다듬어진 탄닌과 균형을 이룬다. 신선한 산미와 쥬이시한 맛, 긴 여운을 충분히 즐길 수 있는 와인이다.

엄격하게 선별한 산지오베제 100%로 양조하며, 오크 캐스크에서 10개월, 병입 후 4개월 더 숙성했다. 연간 13,000~20,000병 생산한다.

발레누오바(Vallenuova)는 와이너리가 위치한 마을의 오래된 지명으로, 현재도 와이너리의 공식 주소명에 사용된다.",
179,"레오나르드 커리쉬, 산타 아니타 글루바인","Leonard Kreusch, Santa Anita Gluhwein",18000.0,,독일,뉘른베르크,"블루베리, 정향, 시나몬, 아니스, 허브, 레몬, 오렌지","한식, 디저트, 과일",-,4.5,8~9 %,3,1,4,1,"짙은 적갈색을 띠고, 은은하게 퍼지는 오렌지, 정향, 아니스 등의 허브 향이 입안을 가득 채운다. 몸에 좋은 효능을 가진 항신료와 설탕 등을 넣어서 끓이는(Mulled) 와인을 뜻하는 독일의 글루바인은 건강상의 이유나 맛의 개선을 위해서 허브, 향신료를 와인에 첨가하던 기원전 500년 역사로 거슬러 올라간다.

드라이 레드 와인(슈페트버건더(Spatburgunder), 트로링거(Trollinger) 블렌딩) 95.385%, 천연향료베이스(오렌지, 레몬, 블루베리, 정향, 아니스, 시나몬), 설탕이 블랜딩 되었다.

와인 TIP 하나! 따뜻하게 마시는 와인 ‘글루바인’
글루바인이란 ‘빛나는 와인(Glow Wine)’이라는 뜻의 독일어다. 글루바인(Gluhwein)은 겨울이 몹시 추운 독일 지역과 스칸디나비아 지역에서 원기 회복이나 감기 예방을 위한 약으로 마시기 시작했다. 축제나 벼룩시장 등에 가면 종이컵에 한 국자씩 부어서 파는 포장마차도 만날 수 있고, 크리스마스나 가족 행사 때 항상 빠지지 않고 준비되는 따뜻한 음료이기도 하다. 독일에서는 오렌지 껍질이나 클로브(Clove), 시나몬(Cinnamon) 스틱, 여러 향신료를 넣은 티백을 와인에 넣어 좀 더 편리하게 글루바인을 마신다고 한다. 설탕 대신 꿀을 넣어도 좋다. 만드는 방법은 대부분 비슷하지만 나라마다 호칭이 다르다. 프랑스에서는 뱅 쇼(Vin Chaud), 미국에서는 뮬드 와인(Mulled Wine)이라고 부른다. 글루바인은 와인에 오렌지나 레몬, 기호에 따라 시나몬 스틱, 클로브를 넣고 20∼30분 은근히 끓이면 완성된다. 추운 겨울 캠핑장이나 야외에서 마시기에 가장 적합한 와인이라고 말할 수있다.",
180,"보데가 피놀드, 산타 클로스 드 토리바스 크리안자","Bodegas Pinord, Santa Clos de Torribas Crianza",42000.0,,스페인,페네데스,"오크, 치즈","치킨, 소고기, 돼지고기, 돼지",-,4.2,12~13 %,1,3,3,3,"다크 레드 빛을 띠는 와인으로 스파이시한 향이 오크의 아로마와 함께 강하게 느껴지고, 이후 뗌프라니요의 전형적인 과실의 향이 부드럽게 올라온다.

오크의 향이 템프라니요의 풍부한 과실 향과 훌륭한 조화를 이루며 체다 치즈의 맛도 느껴지다가 마지막에는 부드러운 탄닌이 입안을 마무리 해준다. 오크통에서 10개월 숙성 후 병에서 1년 이상 숙성 후 출시한다.",
181,"샴페인 르그레, 로제 드 세니에 브뤼 나뛰레","Champagne Legret, Rose de Saignee Brut Nature",100000.0,스파클링,프랑스,샹빠뉴,"배, 체리, 딸기, 오렌지",야채,-,3.8,,1,4,3,1,"Talus-Saint-Prix 언덕에서 재배하는 올드 바인 피노 뮈니에 품종으로만 만들었으며, 도자쥬(Dosage)를 전혀 하지 않아 포도 고유의 높은 품질과 순수한 풍미를 그대로 즐길 수 있다.

포도를 짧게 침용해 컬러를 만들었으며, 오렌지 빛이 감도는 진한 딸기 색과 잔잔한 기포가 시선을 사로 잡는다. 붉은 베리의 파워풀한 향과 은은하게 페퍼리한 향이 감지되다가 이내 모렐로 체리처럼 산뜻한 아로마를 즐길 수 있다. 입 안 가득한 붉은 과일 풍미를 느낄 수 있으며, 체리처럼 새콤한 여운이 길게 지속되는 와인이다.",
182,"콜도르치아, 로쏘 디 몬탈치노","Col d'Orcia, Rosso di Montalcino",,,이탈리아,몬탈치노,"체리, 블랙베리, 오크",치즈,-,3.8,14~15 %,1,4,3,3,"보랏빛이 도는 깊은 루비 레드의 색을 가지고 있다. 잘 익은 붉은 과일, 블랙베리와 체리의 전형적인 과일향들이 오크통의 향과 잘 균형을 이루고 있는 와인이다. 좋은 구조를 가지고 있고, 부드럽고 기분 좋은 타닌감이 느껴진다. 마시고 난 이후에도 과일향의 여운이 길게 남는다.

신선한 포도를 얕고 넓은 강철 탱크에서 28도 이하의 온도로 10~12일간 껍질째로 발효시킨다. 12개월간 7,500~15,000리터 크기의 대형 오크통에서 숙성을 진행한 이후 정제하여 병입한다.",
183,"토레스, 상그레 데 토로 까바","Torres, Sangre de Toro Cava",28000.0,스파클링,스페인,까탈루냐,식전주,,-,4.5,11~12 %,2,3,3,1,짙은 볏짚 컬러를 띠며 시트레스 계열의 과일 향과 맛이 느껴지고 섬세하면서도 밸런스가 좋은 스파클링이 입안을 즐겁게 해준다. 깔끔하고 깨끗한 산도가 음식과의 조화가 매우 이상적인 까바이다.,
184,"필리터리, 프로즌 툰드라 비달 아이스와인","Pillitteri, Frozen Tundra Vidal Icewine",99000.0,,캐나다,나이아가라 페닌슐라,"복숭아, 살구, 꽃, 오렌지, 리치, 파인애플","초콜릿, 치즈, 과일",-,4,11~12 %,5,3,4,1,"진한 금빛 컬러에서 알 수 있듯 꽃, 꿀, 오렌지, 복숭아, 살구 등의 환상적인 아로마를 지니고 있다. 파인애플, 리치(lychee), 꿀의 농축된 풍미에 풍부한 텍스쳐와 균형잡힌 산도감이 긴 여운을 남긴다",
185,"보쉔달, 장 가드 샤도네이","Boscehndal, Jean Garde Chardonnay",33000.0,,남아프리카,웨스턴 케이프,"복숭아, 시트러스, 라임, 오렌지, 멜론",,-,3.2,13~14 %,1,3,3,1,라임과 노란색 과일을 중심으로 한 생생하고 매력적인 아로마를 가졌다. 싱싱하고 잘 익은 복숭아와 멜론 풍미가 도드라지며 오렌지 시트러스가 더 해져 프레쉬함이 한 층 더해지는 와인이다. 줄기를 포함한 포도송이 전체를 압착하며 스테인리스 스틸에서 숙성한다. 3개월 동안은 매주 바토나쥬를 통해 부드럽게 저어주어 풍성한 질감을 더한 와인이다.,
186,샤또 레오빌 라스까스,Chateau Leoville Las Cases,450000.0,,프랑스,생-쥴리앙,"치즈, 비프, 그릴요리, 양고기",,-,4.3,13~14 %,1,3,4,4,"2018 빈티지는 까베르네 소비뇽 80%, 메를로 11%, 까베르네 프랑 9%가 블레딩 되었다.",
187,"알레한드로 페르난데즈, 뻬스께라 레세르바","Alejandro Fernandez, Pesquera Reserva",75000.0,,스페인,리베라 델 두에로,"배, 블랙베리, 잼, 오크","치즈, 스테이크, 육류요리, 스튜, 양고기",-,4.3,14~15 %,1,4,4,4,"잼처럼 응축된 붉은 과일의 풍부한 아로마와 효모, 발사믹 터치가 느껴진다. 블랙베리 류의 풍부한 과일 향과 향신료 향, 나무 향이 어우러진다. 입 안에서도 역시 풍부한 과일 캐릭터가 느껴지면서, 긴 병입 숙성에서 배어나는 다채로운 맛의 여운이 길게 남는 와인이다.

해발고도 800m 이상 남향 밭의 35~40년 수령의 포도로 양조했으며, 발효 후 미국산 오크 배럴에서 24개월, 병입 후 12개월 더 숙성해 출시한다. 뻬스께라의 모든 와인은 정제나 여과 없이 병입한다. 마시기 30분 전 디캔팅하면 세디먼트(자연 침전물) 없이 깨끗하게 푸어링 할 수 있다.",
188,퍼플 오리지널 말벡,Purple Original Malbec,31000.0,,프랑스,까오르,"치즈, 피자, 파스타",,-,3.5,,1,3,5,5,"퍼플 오리지널 말벡은 이름에서 보듯 프랑스가 아닌 말벡을 강조하고 있다. 오리지널 말벡이라는 이름에 걸맞게 말벡 특유의 강한 붉은 색과 붉은 과실의 향이 우아하게 느껴진다. 그리고 느껴지는 균형감 있는 타닌과 향신료, 붉은 과일의 느낌은 와인으로 하여금 즐거운 기분을 느끼게 만들어 준다.

보라색(Purple)은 500년의 샤또 라그리젯 빈야드를 상징한다. 석회암지대 위에서 자라는 평균 20년 수령의 포도나무의 과실을 모아 만든다. 4일동안 8도를 유지한 스틸탱크에서 침용을 진행하며, 지속적으로 펌핑을 하여 이름 그대로 뚜렷한 보라색을 만들어낸다.",
189,"프레스코발디, 페라노 키안티 클라시코","Frescobaldi, Perano Chianti Classico",,,이탈리아,키안티,"체리, 블랙베리, 유칼립투스, 미네랄","치즈, 미트",-,3.5,13~14 %,1,4,3,3,"퍼플 컬러를 띠며 야생 블랙베리, 라즈베리, 체리 같은 과실 노트가 풍부하고, 끝에 발사믹과 유칼립투스가 미네랄 터치와 함께 다가온다. 타닌은 안티 클라시코의 전형을 보여주듯 팔레트에서 깔끔하고 신선하다. 강렬하고 여운이 긴 피니시에서 느껴지는 월넛 뉘앙스를 보이는 와인이다.

프레스코발디 토스카나의 7번째 와이너리 페라노는 프레스코발디의 브랜드 가치인 “Cultivating Toscana Diversity”를 완성하는 최고의 프리미엄 키안티 클라시코 와이너리이다.",
190,"또스띠, 모스카토 다스티 하트","Tosti, Moscato d'Asti",35000.0,,이탈리아,아스티,"복숭아, 살구, 꽃, 레몬, 오렌지, 보리수","디저트, 과일",-,4,5.5 %,4,2,2,1,"복숭아, 살구 등의 모스까또 품종 특유의 섬세하면서도 짙은 과일향과 보리수꽃, 오렌지꽃, 레몬, 샐비어 등의 향이 오버랩된다. 밝은 노랑색을 띠고, 싫증나지 않을 정도의 달콤함과 향긋함, 낮은 알코올 도수가 조화를 이룬다.",
